City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Vardo,NO,70.3705,31.1107,22.19,82,25,22.32,scattered clouds
192,Payo,ID,-3.7508,103.6372,77.36,94,98,4.0,overcast clouds
193,Kensington,AU,-33.9167,151.2167,63.21,89,75,25.32,shower rain
194,Sitka,US,57.0531,-135.33,37.29,70,90,10.36,overcast clouds
195,College,US,64.8569,-147.8028,12.58,87,75,3.44,broken clouds
196,Richards Bay,ZA,-28.783,32.0377,71.44,95,16,3.4,few clouds
197,Itaituba,BR,-4.2761,-55.9836,73.96,98,100,0.94,overcast clouds
198,Chandbali,IN,20.7833,86.7667,69.96,82,86,3.87,overcast clouds
199,Batticaloa,LK,7.7102,81.6924,80.64,77,97,9.73,overcast clouds
200,Ayame,CI,5.6083,-3.1563,75.72,90,30,2.3,scattered clouds
201,Sandnessjoen,NO,66.0217,12.6316,35.58,52,100,8.99,light snow
202,Kieta,PG,-6.2167,155.6333,85.42,72,100,3.13,light rain
203,Digby,CA,44.6169,-65.7655,24.31,76,28,7.67,scattered clouds
204,Grand-Santi,GF,4.25,-54.3833,73.83,99,100,1.88,overcast clouds
205,Mercedes,AR,-34.6515,-59.4307,73.18,56,100,5.93,overcast clouds
206,Huarmey,PE,-10.0681,-78.1522,68.16,83,100,6.53,overcast clouds
207,Emerald,AU,-23.5333,148.1667,84.34,54,9,1.86,clear sky
208,Barrow,US,71.2906,-156.7887,3.22,85,90,11.5,mist
209,Westport,US,41.1415,-73.3579,37.45,73,90,0.0,overcast clouds
210,Bela Vista Do Paraiso,BR,-22.9967,-51.1906,69.04,45,0,3.6,clear sky
211,Nerchinskiy Zavod,RU,51.3088,119.61,4.19,85,98,1.12,overcast clouds
212,Saint-Philippe,RE,-21.3585,55.7679,76.55,76,41,8.97,scattered clouds
213,Awjilah,LY,29.1081,21.2869,54.16,50,0,7.02,clear sky
214,Cabedelo,BR,-6.9811,-34.8339,81.27,81,65,11.59,broken clouds
215,Hasaki,JP,35.7333,140.8333,52.29,66,100,14.43,overcast clouds
216,Tias,ES,28.9611,-13.645,64.15,77,0,20.71,clear sky
217,Takoradi,GH,4.8845,-1.7554,80.02,83,3,6.49,light rain
218,Ballina,AU,-28.8667,153.5667,87.98,51,72,5.88,broken clouds
219,Panguna,PG,-6.3164,155.4848,81.19,67,100,2.57,light rain
220,Narsaq,GL,60.9167,-46.05,26.82,82,75,5.97,broken clouds
221,Kasempa,ZM,-13.4584,25.8338,67.12,73,85,0.6,overcast clouds
222,Thompson,CA,55.7435,-97.8558,1.56,78,90,10.36,light snow
223,Dickinson,US,29.4608,-95.0513,76.21,93,90,5.01,overcast clouds
224,Luderitz,NA,-26.6481,15.1594,59.97,83,0,8.28,clear sky
225,Souillac,MU,-20.5167,57.5167,75.36,94,40,5.75,scattered clouds
226,Xining,CN,36.6167,101.7667,28.31,59,100,0.78,overcast clouds
227,Gazanjyk,TM,39.2446,55.5154,53.06,44,96,7.65,overcast clouds
228,Sarai,RU,53.7458,41.0213,22.32,89,16,8.99,few clouds
229,Itea,GR,38.4333,22.4167,61.14,92,97,9.13,overcast clouds
230,Shenzhen,CN,22.5455,114.0683,73.15,71,0,4.27,clear sky
231,Omboue,GA,-1.5746,9.2618,77.47,89,99,4.27,overcast clouds
232,Port Moresby,PG,-9.4431,147.1797,89.02,58,75,9.22,broken clouds
233,Chuy,UY,-33.6971,-53.4616,62.49,77,83,7.4,broken clouds
234,Jalingo,NG,8.8833,11.3667,72.34,25,2,3.36,clear sky
235,Mehriz,IR,31.5917,54.4318,49.35,24,88,3.06,overcast clouds
236,Erenhot,CN,43.6475,111.9767,19.83,73,43,4.85,scattered clouds
237,Helong,CN,42.5397,128.9972,39.69,63,100,1.1,overcast clouds
238,Bilibino,RU,68.0546,166.4372,-45.26,100,96,2.01,overcast clouds
239,Severo-Kurilsk,RU,50.6789,156.125,36.27,80,6,8.43,clear sky
240,Abu Kamal,SY,34.4506,40.9171,51.62,67,0,5.35,clear sky
241,Kavaratti,IN,10.5669,72.642,82.42,71,83,10.31,broken clouds
242,Mount Isa,AU,-20.7333,139.5,89.37,11,3,12.66,clear sky
243,Malanville,BJ,11.8685,3.3899,68.68,17,12,6.4,few clouds
244,Laguna,US,38.421,-121.4238,51.93,80,1,4.61,clear sky
245,Shamkhal,RU,43.0596,47.3373,51.78,83,71,11.83,broken clouds
246,Bam,IR,29.106,58.357,53.24,21,88,3.06,overcast clouds
247,Jacksonville,US,30.3322,-81.6556,65.43,87,90,3.44,mist
248,Hastings,GB,50.8552,0.5729,47.95,90,100,26.89,overcast clouds
249,Codrington,AU,-38.2667,141.9667,58.26,63,98,14.41,overcast clouds
250,Manyana,BW,-23.4,21.7167,73.24,54,100,4.56,overcast clouds
251,Kaitangata,NZ,-46.2817,169.8464,61.93,62,42,8.48,scattered clouds
252,San Borja,BO,-14.8167,-66.85,72.03,98,98,2.84,overcast clouds
253,Tukrah,LY,32.5341,20.5791,57.04,46,0,16.4,clear sky
254,Raha,IN,26.2333,92.5167,66.97,79,0,2.08,clear sky
255,Royan,FR,45.6285,-1.0281,51.84,81,95,27.16,overcast clouds
256,Svetlyy,RU,54.675,20.1347,30.25,95,100,15.14,light snow
257,Lasa,IT,46.6166,10.7002,22.08,77,15,1.9,few clouds
258,Sampit,ID,-2.5333,112.95,82.76,81,99,2.77,overcast clouds
259,Yarensk,RU,62.1675,49.0916,-8.91,100,41,3.76,scattered clouds
260,Nuuk,GL,64.1835,-51.7216,27.21,93,90,11.5,light snow
261,Baruun-Urt,MN,46.6806,113.2792,19.15,67,64,8.23,broken clouds
262,Half Moon Bay,US,37.4636,-122.4286,53.42,77,1,6.91,clear sky
263,Qaanaaq,GL,77.484,-69.3632,-1.28,79,28,8.12,scattered clouds
264,Khatanga,RU,71.9667,102.5,-15.03,96,98,9.44,overcast clouds
265,Kudahuvadhoo,MV,2.6708,72.8944,82.18,76,93,11.41,overcast clouds
266,Pekin,CN,39.9075,116.3972,39.09,39,100,4.85,overcast clouds
267,Longido,TZ,-2.7333,36.6833,65.05,88,98,10.2,light rain
268,Qiongshan,CN,20.0058,110.3542,73.38,68,40,15.66,scattered clouds
269,Cherepovets,RU,59.1333,37.9,-2.81,99,52,0.69,broken clouds
270,Tezu,IN,27.9167,96.1667,69.55,45,34,0.22,scattered clouds
271,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.05,96,100,3.85,heavy intensity rain
272,Nkhata Bay,MW,-11.6066,34.2907,76.32,68,5,3.2,light rain
273,Buribay,RU,51.9617,58.1592,10.42,87,100,5.75,overcast clouds
274,Kapit,MY,2.0167,112.9333,82.89,77,82,1.54,broken clouds
275,Mount Gambier,AU,-37.8333,140.7667,64.31,52,90,14.97,overcast clouds
276,Cherskiy,RU,68.75,161.3,-43.73,100,96,5.61,overcast clouds
277,Teguise,ES,29.0605,-13.564,61.02,77,0,20.71,clear sky
278,Narasannapeta,IN,18.4167,84.05,71.04,80,0,6.69,clear sky
279,Vyazemskiy,RU,47.5378,134.7525,33.17,93,100,1.41,overcast clouds
280,Latehar,IN,23.75,84.5,64.04,65,98,3.65,overcast clouds
281,Hanmer Springs,NZ,-42.5167,172.8167,68.95,68,99,4.63,light rain
