City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Lamar,US,2021-12-08 14:48:44,33.6668,-95.5836,43.36,87,1,5.75
122,Turkmenabat,TM,2021-12-08 14:48:44,39.0733,63.5786,35.58,93,0,6.91
123,Ostrovnoy,RU,2021-12-08 14:48:44,68.0531,39.5131,14.31,79,73,3.87
124,Kirakira,SB,2021-12-08 14:48:45,-10.4544,161.9205,80.65,85,100,4.59
125,Quang Ngai,VN,2021-12-08 14:47:55,15.1167,108.8,70.05,87,100,4.65
126,Faanui,PF,2021-12-08 14:48:45,-16.4833,-151.75,80.42,76,99,13.76
127,Talnakh,RU,2021-12-08 14:48:46,69.4865,88.3972,-0.8,99,100,15.99
128,Ixtapa,MX,2021-12-08 14:48:46,20.7,-105.2,74.88,36,20,2.71
129,Antalaha,MG,2021-12-08 14:48:46,-14.9003,50.2788,77.94,72,36,8.25
130,Mahibadhoo,MV,2021-12-08 14:48:47,3.7833,72.9667,82.08,76,100,10.67
131,Hasaki,JP,2021-12-08 14:48:47,35.7333,140.8333,46.8,84,100,32.68
132,Asfi,MA,2021-12-08 14:45:12,32.2994,-9.2372,64.33,64,0,10.71
133,Alice Springs,AU,2021-12-08 14:48:48,-23.7,133.8833,76.55,33,40,14.97
134,Ginir,ET,2021-12-08 14:48:48,7.1333,40.7,65.48,33,88,7.05
135,Kulhudhuffushi,MV,2021-12-08 14:48:48,6.6221,73.07,82.04,73,46,8.72
136,Yulara,AU,2021-12-08 14:48:49,-25.2406,130.9889,80.44,29,40,11.5
137,Nome,US,2021-12-08 14:49:49,64.5011,-165.4064,12.27,73,90,13.8
138,Provideniya,RU,2021-12-08 14:49:49,64.3833,-173.3,5.65,94,100,19.64
139,Georgetown,MY,2021-12-08 14:49:50,5.4112,100.3354,83.89,74,20,8.99
140,Sergeyevka,KZ,2021-12-08 14:49:50,53.88,67.4158,-6.32,100,59,4.34
141,Vammala,FI,2021-12-08 14:49:50,61.3333,22.9,4.44,97,74,2.91
142,Zhob,PK,2021-12-08 14:49:51,31.3411,69.4481,49.68,17,0,1.3
143,Coruripe,BR,2021-12-08 14:49:51,-10.1256,-36.1756,86.49,58,51,15.48
144,Lagoa,PT,2021-12-08 14:49:52,39.05,-27.9833,60.35,54,100,2.55
145,Bria,CF,2021-12-08 14:49:52,6.5423,21.9863,95.22,19,75,0.89
146,Pisco,PE,2021-12-08 14:49:52,-13.7,-76.2167,69.85,73,0,8.05
147,Muhos,FI,2021-12-08 14:49:53,64.808,25.9931,-2.42,99,95,2.66
148,Mar Del Plata,AR,2021-12-08 14:49:53,-38.0023,-57.5575,78.82,82,0,20.0
149,Sisimiut,GL,2021-12-08 14:49:54,66.9395,-53.6735,14.83,60,100,7.11
150,Moissala,TD,2021-12-08 14:49:54,8.3404,17.7663,99.16,11,4,6.6
151,Saldanha,ZA,2021-12-08 14:49:54,-33.0117,17.9442,84.25,74,42,17.67
152,Sabalgarh,IN,2021-12-08 14:49:55,26.25,77.4,63.16,38,0,3.42
153,Skibbereen,IE,2021-12-08 14:49:55,51.55,-9.2667,40.8,54,12,18.75
154,Wajid,SO,2021-12-08 14:49:55,3.8093,43.2471,89.92,30,73,10.13
155,Isangel,VU,2021-12-08 14:49:56,-19.55,169.2667,78.46,88,3,6.53
156,Matay,EG,2021-12-08 14:49:56,28.419,30.7792,64.08,39,0,13.78
157,Rio Grande,BR,2021-12-08 14:49:57,-32.035,-52.0986,78.91,59,82,12.5
